BIPA	GRAPHEME	FEATURES	LATEX
	ŋ̟ː	velar:nasal:+voice +nasal	\begin{IPA}\|+N̟\end{IPA}\textlengthmark
	ŋ̠ː	velar:nasal:+voice +nasal	\textipa{\=*N}\textlengthmark
	qː	uvular:plosive:−voice	q\textlengthmark
	ɢː	uvular:plosive:+voice	\textscg\textlengthmark
	ʛː	uvular:plosive:+voice	\texthtscg\textlengthmark
	ɢ͡ʁː	uvular:affricate:+voice	\t{\textscg \textipa{K}}\textlengthmark
	χː	uvular:fricative:−voice	\textchi\textlengthmark
	ʁː	uvular:fricative:+voice	\textipa{K}\textlengthmark
	q͡χː	uvular:affricate:−voice	\t{q͡\textchi}\textlengthmark
	ɴː	uvular:nasal:+voice +nasal	\textscn\textlengthmark
	ʕː	pharyngeal:fricative:+voice	\textrevglotstop\textlengthmark
	ħː	pharyngeal:fricative:−voice	\textcrh\textlengthmark
	ʔː	glottal:plosive:−voice	\textglotstop\textlengthmark
	hː	glottal:fricative:−voice	h\textlengthmark
	ɦː	glottal:fricative:+voice	\texthth\textlengthmark
	a̯ː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{a}\textlengthmark
	ɐ̯ː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textturna}\textlengthmark
	ɑ̯ː	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textscripta}\textlengthmark
	ɒ̯ː	empty:vowel:−high +low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textturnscripta}\textlengthmark
	ɔ̯ː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textopeno}\textlengthmark
	e̯ː	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{e}\textlengthmark
	ɛ̯ː	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textipa{E}}\textlengthmark
	ə̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textschwa}\textlengthmark
	ɚ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textrhookschwa}\textlengthmark
	ɘ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textreve}\textlengthmark
	ɜ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textipa{3}}\textlengthmark
	ɝ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textrhookrevepsilon}\textlengthmark
	ɞ̯ː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textcloseepsilon}\textlengthmark
	ɤ̯ː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textipa{7}}\textlengthmark
	i̯ː	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{i}\textlengthmark
	ɪ̯ː	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textipa{I}}\textlengthmark
	ɨ̯ː	empty:vowel:+high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textbari}\textlengthmark
	ɯ̯ː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{\textturnm}\textlengthmark
	o̯ː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textroundcap{o}\textlengthmark
