BIPA	GRAPHEME	COLUMN	COUNT	NOTE	SYMBOLS
ǂˀ	ǂˀ	284	18		◌ǂ ◌ˀ
ǂˀʰ	ǂˀʰ	234	1		◌ǂ ◌ˀ ◌ʰ
ɐ	ɐ	145	83		◌ɐ
ɑ	ɑ	139	113		◌ɑ
ɑ̯	ɑ̯	427	1		◌ɑ ◌̯
ɒ	ɒ	134	40		◌ɒ
ɓ	ɓ	602	138		◌ɓ
ɓʷ	ɓʷ	671	2		◌ɓ ◌ʷ
ɓʱ	ɓ̤	605	1		◌ɓ ◌ʱ
ɔ	ɔ	137	653		◌ɔ
ɔ̤	ɔ̤	127	3		◌ɔ ◌̤
ɗ	ɗ	697	106		◌ɗ
ɖʼ	ɗ̣	616	20		◌ɖ ◌’
ɗʱ	ɗ̤	584	1		◌ɗ ◌ʱ
ə	ə	148	600		◌ə
ə̤	ə̤	153	1		◌ə ◌̤
ə̯	ə̯	417	1		◌ə ◌̯
ɛ	ɛ	410	706		◌ɛ
ɛ̤	ɛ̤	409	3		◌ɛ ◌̤
ɟ	ɟ	606	205		◌ɟ
ɟʱ	ɟ̤	571	3		◌ɟ ◌ʱ
ɠ	ɠ	639	14		◌ɠ
ɠʱ	ɠ̤	650	1		◌ɠ ◌ʱ
g	ɡ	662	1225		◌g
gǃ	ɡ!	263	20		◌g ◌ǃ
gǃ̃	ɡ!n	271	8		◌g ◌ǃ ◌̃
gǃˀʰ	ɡ!ˀʰ	250	1		◌g ◌ǃ ◌ˀ ◌ʰ
gǀ	ɡ/	278	27		◌g ◌ǀ
gǀ̃	ɡ/n	156	13		◌g ◌ǀ ◌̃
gǀˀʰ	ɡ/ˀʰ	265	1		◌g ◌ǀ ◌ˀ ◌ʰ
gb	ɡb	576	165		◌g ◌b
gbʷ	ɡbʷ	663	2		◌g ◌b ◌ʷ
gd	ɡd	578	1		◌g ◌d
gǁ	ɡǁ	249	25		◌g ◌ǁ
gǁ̃	ɡǁn	270	13		◌g ◌ǁ ◌̃
gǁˀʰ	ɡǁˀʰ	286	1		◌g ◌ǁ ◌ˀ ◌ʰ
gǂ	ɡǂ	235	16		◌g ◌ǂ
gǂ̃	ɡǂn	223	7		◌g ◌ǂ ◌̃
