BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
l	voiced alveolar lateral approximant consonant		+	l	◌l							
lʲ	palatalized voiced alveolar lateral approximant consonant		+	lʲ	◌l ◌ʲ							
lʼ	voiced alveolar ejective lateral approximant consonant	+	+	lʼ	◌l ◌ʼ							
lː	long voiced alveolar lateral approximant consonant		+	lː	◌l ◌ː							
l̥	devoiced voiced alveolar lateral approximant consonant		+	l̥	◌l ◌̥							
l̪	voiced dental lateral approximant consonant		+	l̪	◌l ◌̪							
m	voiced bilabial nasal consonant		+	m	◌m							
ⁿb	pre-nasalized voiced bilabial stop consonant		+	mb	◌ⁿ ◌b							
ⁿbʲ	pre-nasalized palatalized voiced bilabial stop consonant	+	+	mbʲ	◌ⁿ ◌b ◌ʲ							
ⁿp	pre-nasalized voiceless bilabial stop consonant		+	mp	◌ⁿ ◌p							
ⁿpʲ	pre-nasalized palatalized voiceless bilabial stop consonant	+	+	mpʲ	◌ⁿ ◌p ◌ʲ							
ⁿɸʲ	pre-nasalized palatalized voiceless bilabial fricative consonant	+	+	mɸʲ	◌ⁿ ◌ɸ ◌ʲ							
mʰ	aspirated voiced bilabial nasal consonant		+	mʰ	◌m ◌ʰ							
mʲ	palatalized voiced bilabial nasal consonant		+	mʲ	◌m ◌ʲ							
mʷ	labialized voiced bilabial nasal consonant		+	mʷ	◌m ◌ʷ							
mʼ	voiced bilabial ejective nasal consonant	+	+	mʼ	◌m ◌ʼ							
mː	long voiced bilabial nasal consonant		+	mː	◌m ◌ː							
m̥	devoiced voiced bilabial nasal consonant		+	m̥	◌m ◌̥							
m̰	creaky voiced bilabial nasal consonant	+	+	m̰	◌m ◌̰							
n	voiced alveolar nasal consonant		+	n	◌n							
ⁿd	pre-nasalized voiced alveolar stop consonant		+	nd	◌ⁿ ◌d							
ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	+	+	ndz	◌ⁿ ◌d ◌z							
ⁿdzʲ	pre-nasalized palatalized voiced alveolar sibilant affricate consonant	+	+	ndzʲ	◌ⁿ ◌d ◌z ◌ʲ							
ⁿdʒ	pre-nasalized voiced post-alveolar affricate consonant		+	ndʒ	◌ⁿ ◌d ◌ʒ							
ⁿdʲ	pre-nasalized palatalized voiced alveolar stop consonant	+	+	ndʲ	◌ⁿ ◌d ◌ʲ							
ⁿs	pre-nasalized voiceless alveolar sibilant fricative consonant	+	+	ns	◌ⁿ ◌s							
ⁿsʲ	pre-nasalized palatalized voiceless alveolar sibilant fricative consonant	+	+	nsʲ	◌ⁿ ◌s ◌ʲ							
ⁿt	pre-nasalized voiceless alveolar stop consonant		+	nt	◌ⁿ ◌t							
ⁿts	pre-nasalized voiceless alveolar sibilant affricate consonant	+	+	nts	◌ⁿ ◌t ◌s							
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant		+	ntʃ	◌ⁿ ◌t ◌ʃ							
ⁿtʲ	pre-nasalized palatalized voiceless alveolar stop consonant	+	+	ntʲ	◌ⁿ ◌t ◌ʲ							
nʰ	aspirated voiced alveolar nasal consonant	+	+	nʰ	◌n ◌ʰ							
nʲ	palatalized voiced alveolar nasal consonant		+	nʲ	◌n ◌ʲ							
